# energy [hartree]:-73.8396768405
# iterations before stopping: 18
#Runtime settings
#number of atoms: 40
#electronic configuration: [2 2 1 1]
#wiegner seitz radious: 3.93
#R_c: 13.440410940878838
#beta: 0.25

#r	rho	potential
1.24	0.00304147855054	-0.20753910788
1.26	0.00305116151733	-0.207682629442
1.28	0.00306095739	-0.207827473716
1.3	0.00307086424525	-0.207973604426
1.32	0.00308088013597	-0.208120985371
1.34	0.00309100309162	-0.208269580447
1.36	0.00310123111854	-0.208419353666
1.38	0.00311156220034	-0.208570269166
1.4	0.00312199429821	-0.208722291233
1.42	0.00313252535133	-0.208875384314
1.44	0.00314315327723	-0.209029513033
1.46	0.00315387597216	-0.209184642204
1.48	0.0031646913115	-0.209340736848
1.5	0.00317559715015	-0.209497762203
1.52	0.00318659132292	-0.209655683742
1.54	0.00319767164496	-0.209814467181
1.56	0.00320883591217	-0.209974078495
1.58	0.00322008190159	-0.210134483926
1.6	0.00323140737191	-0.21029565
1.62	0.00324281006382	-0.21045754353
1.64	0.00325428770051	-0.210620131634
1.66	0.00326583798813	-0.21078338174
1.68	0.00327745861618	-0.210947261597
1.7	0.00328914725807	-0.211111739286
1.72	0.0033009015715	-0.211276783222
1.74	0.00331271919902	-0.211442362171
1.76	0.00332459776844	-0.211608445248
1.78	0.00333653489339	-0.211775001933
1.8	0.00334852817378	-0.211942002071
1.82	0.00336057519629	-0.21210941588
1.84	0.00337267353493	-0.212277213961
1.86	0.00338482075151	-0.212445367294
1.88	0.00339701439618	-0.212613847252
1.9	0.00340925200798	-0.212782625602
1.92	0.00342153111533	-0.212951674507
1.94	0.00343384923661	-0.213120966531
1.96	0.00344620388067	-0.213290474646
1.98	0.00345859254742	-0.213460172227
2.0	0.00347101272836	-0.213630033061
2.02	0.00348346190714	-0.213800031348
2.04	0.00349593756015	-0.213970141698
2.06	0.00350843715707	-0.214140339139
2.08	0.00352095816145	-0.214310599114
2.1	0.0035334980313	-0.214480897481
2.12	0.00354605421967	-0.214651210517
2.14	0.00355862417524	-0.214821514913
2.16	0.00357120534292	-0.214991787779
2.18	0.00358379516443	-0.215162006639
2.2	0.00359639107894	-0.215332149431
2.22	0.00360899052364	-0.215502194509
2.24	0.00362159093436	-0.215672120637
2.26	0.00363418974619	-0.21584190699
2.28	0.0036467843941	-0.21601153315
2.3	0.00365937231355	-0.216180979107
2.32	0.00367195094112	-0.216350225253
2.34	0.00368451771512	-0.21651925238
2.36	0.00369707007624	-0.216688041679
2.38	0.00370960546819	-0.216856574735
2.4	0.00372212133828	-0.217024833525
2.42	0.00373461513812	-0.21719280041
2.44	0.0037470843242	-0.217360458139
2.46	0.00375952635859	-0.217527789839
2.48	0.00377193870951	-0.217694779013
2.5	0.00378431885204	-0.217861409533
2.52	0.00379666426871	-0.218027665643
2.54	0.00380897245017	-0.218193531944
2.56	0.00382124089584	-0.218358993399
2.58	0.00383346711453	-0.218524035322
2.6	0.0038456486251	-0.218688643376
2.62	0.00385778295712	-0.218852803566
2.64	0.00386986765147	-0.219016502235
2.66	0.00388190026106	-0.21917972606
2.68	0.0038938783514	-0.219342462045
2.7	0.00390579950127	-0.219504697515
2.72	0.00391766130338	-0.219666420112
2.74	0.00392946136502	-0.21982761779
2.76	0.00394119730864	-0.219988278809
2.78	0.00395286677256	-0.220148391727
2.8	0.00396446741156	-0.220307945399
2.82	0.00397599689756	-0.220466928966
2.84	0.0039874529202	-0.220625331856
2.86	0.00399883318751	-0.22078314377
2.88	0.00401013542654	-0.220940354684
2.9	0.00402135738395	-0.22109695484
